Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
V8Video.h                                     85                58    31.76%           8                 3    62.50%         115                75    34.78%          64                43    32.81%
Valkyrie.cpp                                 106                17    83.96%          11                 1    90.91%         156                23    85.26%         118                28    76.27%
Valkyrie.h                                    23                14    39.13%          16                12    25.00%          27                18    33.33%           4                 2    50.00%
VaspCpu.cpp                                   65                17    73.85%           9                 0   100.00%          74                 7    90.54%          46                18    60.87%
VaspCpu.h                                      4                 3    25.00%           3                 2    33.33%          10                 7    30.00%           0                 0         -
VaspMemory.cpp                               391                64    83.63%          24                 3    87.50%         397                48    87.91%         284                90    68.31%
VaspMemory.h                                  79                47    40.51%          59                39    33.90%         134               100    25.37%          16                10    37.50%
VaspVideo.h                                   67                46    31.34%           8                 3    62.50%          92                59    35.87%          52                35    32.69%
Via6522.cpp                                  137                21    84.67%           8                 1    87.50%         146                25    82.88%         158                27    82.91%
Via6522.h                                     54                22    59.26%          32                15    53.12%          69                37    46.38%          20                 9    55.00%
ViaEClock.h                                   17                 5    70.59%           5                 1    80.00%          20                 1    95.00%           8                 4    50.00%
VideoBeam.h                                   18                18     0.00%           9                 9     0.00%          54                54     0.00%           8                 8     0.00%
jit/JitBackend.cpp                            53                36    32.08%           5                 3    40.00%          63                49    22.22%          40                31    22.50%
jit/JitBackend.h                               5                 2    60.00%           5                 2    60.00%           5                 2    60.00%           0                 0         -
jit/JitBlockCache.cpp                        125                12    90.40%           5                 0   100.00%         117                 1    99.15%          98                21    78.57%
jit/JitCodeBuffer.cpp                         84                13    84.52%          12                 0   100.00%         116                 1    99.14%          42                16    61.90%
jit/JitCodeBuffer.h                            7                 6    14.29%           7                 6    14.29%           7                 6    14.29%           0                 0         -
jit/JitConfig.h                              173                91    47.40%          46                22    52.17%         248               100    59.68%         100                68    32.00%
jit/JitCost.h                                 62                23    62.90%           8                 3    62.50%          46                17    63.04%          50                16    68.00%
jit/JitDispatchCache.h                        21                 4    80.95%          10                 4    60.00%          27                 4    85.19%           8                 0   100.00%
jit/JitEaPlan.h                               22                 3    86.36%           3                 1    66.67%          37                 4    89.19%          16                 3    81.25%
jit/JitEngine.cpp                            809               342    57.73%          28                17    39.29%        1102               505    54.17%         664               320    51.81%
jit/JitEngine.h                               40                18    55.00%          22                12    45.45%          89                45    49.44%          18                 6    66.67%
jit/JitEngineCensus.cpp                       31                28     9.68%           3                 2    33.33%          58                56     3.45%          24                23     4.17%
jit/JitGuard.h                                44                 1    97.73%           7                 0   100.00%          32                 0   100.00%          36                 2    94.44%
jit/JitIr.h                                 1594                81    94.92%          68                 4    94.12%        1423                57    95.99%        1408               273    80.61%
jit/JitRuntime.cpp                             4                 4     0.00%           1                 1     0.00%           4                 4     0.00%           2                 2     0.00%
jit/JitShiftVersions.cpp                      72                25    65.28%          10                 3    70.00%          91                42    53.85%          48                23    52.08%
jit/JitShiftVersions.h                         7                 1    85.71%           7                 1    85.71%          17                 3    82.35%           0                 0         -
jit/JitStats.h                                33                28    15.15%          12                 7    41.67%         117               108     7.69%          22                22     0.00%
jit/backends/JitBackendA64.cpp              3422               593    82.67%         181                15    91.71%        4082               759    81.41%        2908               918    68.43%
jit/backends/JitBackendA64Jsr040.inl           6                 6     0.00%           1                 1     0.00%          26                26     0.00%           4                 4     0.00%
jit/backends/JitBackendThreaded.cpp           26                23    11.54%           9                 6    33.33%          40                25    37.50%          12                12     0.00%
third_party/miniaudio.h                    36239             36239     0.00%        2335              2335     0.00%       39681             39681     0.00%       17450             17450     0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                      67225             50924    24.25%        5928              4243    28.42%       78671             59051    24.94%       41780             30197    27.72%
